filename,size,proc_memory_start,proc_memory_end,b_time,chol_time,relative_error
matrix\cfd1.mat.mtx,70656,782336,433442816,0.0030037,37.6342,1.85579e-12
matrix\cfd2.mat.mtx,123440,1609728,949800960,0.006006,158.119,6.36929e-12
matrix\ex15.mat.mtx,6867,1273856,5279744,0,0.0160149,6.75138e-07
matrix\parabolic_fem.mat.mtx,525825,2342912,502497280,0.0110111,20.4566,2.07871e-12
matrix\shallow_water1.mat.mtx,81920,880640,36343808,0,0.581529,2.44874e-16
matrix\zz_apache2.mat.mtx,715176,2875392,2766807040,0.0160147,569.814,9.87882e-11
