filename,size,memory_delta,solve_time,relative_error
"apache2",715176,2727985152,560.018,9.87882e-11
"shallow_water1",81920,20275200,0.680088,2.44874e-16
"cfd2",123440,958377984,156.748,6.36929e-12
"cfd1",70656,472543232,37.0512,1.85579e-12
"parabolic_fem",525825,471072768,20.0132,2.07871e-12
"ex15",6867,1892352,0.0154031,6.75138e-07
"G3_circuit",1585478,2089611264,259.6,6.25651e-12
