filename,size,memory_delta,solve_time,relative_error
cfd1,70656,1267551232,2.5727,2.961e-13
cfd2,123440,2497219584,4.5942,7.941e-13
ex15,6867,14336,0.068139,8.5736e-07
shallow_water1,81920,368198656,1.2292,3.1985e-16
